textid	target	model	tokenizer	predicted	prob
1	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9373672008514404
2	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8920242786407471
3	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7598294615745544
4	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9266831874847412
5	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8730269074440002
6	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8770362734794617
7	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8636026978492737
8	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9177911281585693
9	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8505454063415527
10	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8734415769577026
11	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8475046753883362
12	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8444771766662598
13	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.831538200378418
14	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8131669759750366
15	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8007153868675232
16	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8941714763641357
17	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7847177982330322
18	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9587121605873108
19	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8907162547111511
20	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8577051162719727
21	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8203318119049072
22	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8819534182548523
23	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8783836960792542
24	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6705371141433716
25	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.749422550201416
26	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6640598177909851
27	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7196072936058044
28	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9274048805236816
29	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7596871256828308
30	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9037236571311951
31	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.909527063369751
32	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.938933789730072
33	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.5275198221206665
34	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.5214560031890869
35	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8982993960380554
36	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.5567831993103027
37	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9145295023918152
38	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8346351385116577
39	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8231837749481201
40	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9219983220100403
41	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9114232063293457
42	0	midterm/gpt2model1	midterm/gpt2model1	Negative	0.6065162420272827
43	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.942769467830658
44	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9003819227218628
45	0	midterm/gpt2model1	midterm/gpt2model1	Negative	0.6104395389556885
46	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.5003896951675415
47	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8885986804962158
48	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9138590097427368
49	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8839178085327148
50	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9221835136413574
51	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.822667121887207
52	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8812724947929382
53	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9237319231033325
54	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9549196362495422
55	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7310026288032532
56	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9007954597473145
57	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9440739750862122
58	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9196527600288391
59	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8348870873451233
60	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8991691470146179
61	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8589726686477661
62	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9091491103172302
63	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6979179978370667
64	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.815926194190979
65	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8791459202766418
66	0	midterm/gpt2model1	midterm/gpt2model1	Negative	0.7682062387466431
67	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9101484417915344
68	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6013007164001465
69	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7084754705429077
70	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9456126093864441
71	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.5142725110054016
72	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8803809881210327
73	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9681715369224548
74	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8154595494270325
75	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7037568688392639
76	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8126316666603088
77	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8784452080726624
78	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6632192134857178
79	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8975759148597717
80	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9629924297332764
81	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7135505080223083
82	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.9330127835273743
83	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.6655429005622864
84	0	midterm/gpt2model1	midterm/gpt2model1	Positive	0.7360168695449829
85	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8782042860984802
86	1	midterm/gpt2model1	midterm/gpt2model1	Positive	0.8237106800079346
