textid	target	model	tokenizer	predicted	prob
1	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.928425133228302
2	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8759336471557617
3	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.7099623084068298
4	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9330933094024658
5	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8559591770172119
6	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8715986013412476
7	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8731911778450012
8	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8769325613975525
9	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8348864316940308
10	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8593155145645142
11	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8649809956550598
12	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8310434222221375
13	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8797609806060791
14	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.6507510542869568
15	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8676673769950867
16	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9158836007118225
17	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.7819162011146545
18	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9680671691894531
19	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9268833994865417
20	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8885059952735901
21	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8822301626205444
22	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9452664256095886
23	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.619024395942688
24	0	midterm/gpt2model3	midterm/gpt2model3	Negative	0.6957663893699646
25	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8652467727661133
26	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.704673707485199
27	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.674269437789917
28	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9558458924293518
29	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.5696582198143005
30	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8318011164665222
31	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9138802289962769
32	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9125606417655945
33	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.6602045893669128
34	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.6305218935012817
35	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.7754291296005249
36	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8500520586967468
37	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.906374454498291
38	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.793314516544342
39	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8504785299301147
40	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9253067374229431
41	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9353877305984497
42	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.6573918461799622
43	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9308379292488098
44	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8965312838554382
45	0	midterm/gpt2model3	midterm/gpt2model3	Negative	0.6982190608978271
46	0	midterm/gpt2model3	midterm/gpt2model3	Negative	0.6936039328575134
47	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.906337320804596
48	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9086399674415588
49	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9164055585861206
50	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9170445203781128
51	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9157683253288269
52	0	midterm/gpt2model3	midterm/gpt2model3	Positive	0.8810076117515564
53	1	midterm/gpt2model3	midterm/gpt2model3	Positive	0.9236512184143066
